id,merchant_id,shopper_id,amount,created_at,completed_at
3,7,125,445.5,01/01/2018 02:51:00,
8,9,325,190.61,01/01/2018 07:36:00,
16,2,77,326.99,01/01/2018 15:12:00,
17,2,15,224.03,01/01/2018 16:09:00,
26,6,87,59.03,02/01/2018 00:46:00,
42,3,89,118.94,02/01/2018 13:02:00,
43,4,356,221.08,02/01/2018 13:48:00,
47,12,244,99.19,02/01/2018 16:52:00,
60,7,298,399.49,03/01/2018 04:00:00,
63,6,379,210.6,03/01/2018 07:00:00,
66,13,282,248.15,03/01/2018 10:00:00,
69,5,110,181.2,03/01/2018 13:00:00,
74,14,173,419.76,03/01/2018 18:00:00,
103,10,329,233.09,04/01/2018 15:43:00,
108,9,246,27.67,04/01/2018 19:08:00,
113,3,359,268.76,04/01/2018 22:33:00,
4,9,11,185.36,01/01/2018 03:48:00,03/01/2018 01:59:56
5,7,354,415.3,01/01/2018 04:45:00,03/01/2018 05:13:16
6,14,217,188.44,01/01/2018 05:42:00,02/01/2018 18:03:55
7,7,288,65.99,01/01/2018 06:39:00,02/01/2018 16:41:25
9,5,87,419.77,01/01/2018 08:33:00,03/01/2018 04:11:46
10,1,86,59.33,01/01/2018 09:30:00,03/01/2018 01:02:43
12,14,388,316.82,01/01/2018 11:24:00,03/01/2018 22:57:39
13,10,110,377.13,01/01/2018 12:21:00,03/01/2018 15:16:48
14,13,122,47.35,01/01/2018 13:18:00,03/01/2018 13:01:58
15,13,206,284.97,01/01/2018 14:15:00,02/01/2018 18:48:28
18,13,16,109.34,01/01/2018 17:06:00,04/01/2018 09:14:58
20,5,353,367.13,01/01/2018 19:00:00,03/01/2018 11:46:44
21,10,328,287.22,01/01/2018 19:57:00,03/01/2018 00:33:58
22,8,327,288.71,01/01/2018 20:54:00,03/01/2018 20:05:47
23,12,364,172.46,01/01/2018 21:51:00,04/01/2018 07:38:03
24,3,24,341.18,01/01/2018 22:48:00,03/01/2018 03:35:42
27,10,256,382.82,02/01/2018 01:32:00,04/01/2018 05:08:16
28,12,38,25.84,02/01/2018 02:18:00,03/01/2018 11:46:41
29,10,390,63.66,02/01/2018 03:04:00,03/01/2018 17:51:23
30,10,303,405.76,02/01/2018 03:50:00,04/01/2018 11:27:25
31,14,379,78.41,02/01/2018 04:36:00,04/01/2018 00:10:23
32,11,114,355.73,02/01/2018 05:22:00,03/01/2018 05:52:43
34,1,131,260.14,02/01/2018 06:54:00,03/01/2018 21:55:30
35,4,303,240.58,02/01/2018 07:40:00,04/01/2018 11:54:27
36,11,328,283.46,02/01/2018 08:26:00,04/01/2018 11:33:46
37,14,262,239.85,02/01/2018 09:12:00,04/01/2018 23:38:21
38,8,398,217.72,02/01/2018 09:58:00,04/01/2018 14:03:34
40,8,280,355.55,02/01/2018 11:30:00,03/01/2018 20:37:49
41,14,327,105.65,02/01/2018 12:16:00,04/01/2018 21:02:10
44,4,202,179.03,02/01/2018 14:34:00,04/01/2018 16:17:59
45,6,140,160.18,02/01/2018 15:20:00,04/01/2018 23:26:33
46,6,323,332.95,02/01/2018 16:06:00,05/01/2018 06:08:53
49,12,81,97.68,02/01/2018 18:24:00,05/01/2018 07:12:50
50,9,252,207.57,02/01/2018 19:10:00,05/01/2018 06:38:57
51,6,164,247.65,02/01/2018 19:56:00,05/01/2018 09:01:14
52,13,201,110.24,02/01/2018 20:42:00,04/01/2018 15:22:41
53,2,290,299.37,02/01/2018 21:28:00,05/01/2018 12:17:21
54,11,245,251.08,02/01/2018 22:14:00,04/01/2018 18:08:36
56,11,310,70.54,02/01/2018 23:46:00,04/01/2018 20:24:53
57,12,373,192.47,03/01/2018 01:00:00,05/01/2018 06:48:32
58,12,227,360.93,03/01/2018 02:00:00,04/01/2018 02:27:55
59,7,365,203.16,03/01/2018 03:00:00,04/01/2018 13:55:59
61,7,310,112.22,03/01/2018 05:00:00,05/01/2018 14:53:46
64,4,65,103.72,03/01/2018 08:00:00,05/01/2018 09:27:56
65,3,164,227.1,03/01/2018 09:00:00,05/01/2018 13:36:09
67,10,344,47.57,03/01/2018 11:00:00,04/01/2018 18:08:34
68,6,321,256.95,03/01/2018 12:00:00,05/01/2018 14:58:02
70,10,1,117.2,03/01/2018 14:00:00,06/01/2018 04:02:18
72,7,349,165.08,03/01/2018 16:00:00,05/01/2018 03:20:55
73,2,270,321.17,03/01/2018 17:00:00,05/01/2018 22:19:42
75,10,100,161.8,03/01/2018 19:00:00,05/01/2018 06:38:42
76,1,81,441.98,03/01/2018 20:00:00,04/01/2018 22:52:52
77,8,301,383.26,03/01/2018 21:00:00,05/01/2018 03:27:41
78,13,35,26.73,03/01/2018 22:00:00,06/01/2018 05:12:02
80,9,319,76.21,04/01/2018 00:00:00,06/01/2018 07:10:48
81,8,51,281.91,04/01/2018 00:41:00,05/01/2018 16:53:28
82,9,208,343.26,04/01/2018 01:22:00,06/01/2018 04:42:51
83,11,169,197.09,04/01/2018 02:03:00,05/01/2018 11:24:22
84,3,350,343.75,04/01/2018 02:44:00,06/01/2018 01:40:23
86,7,263,418.37,04/01/2018 04:06:00,06/01/2018 02:52:30
87,13,383,365.8,04/01/2018 04:47:00,05/01/2018 07:21:19
88,7,98,164.1,04/01/2018 05:28:00,06/01/2018 16:32:45
89,14,358,248.4,04/01/2018 06:09:00,06/01/2018 19:30:20
90,11,208,354.77,04/01/2018 06:50:00,06/01/2018 04:32:09
92,7,389,95.87,04/01/2018 08:12:00,05/01/2018 16:36:48
93,7,116,404.14,04/01/2018 08:53:00,05/01/2018 12:20:00
94,11,236,83.37,04/01/2018 09:34:00,06/01/2018 07:13:41
95,6,161,176.36,04/01/2018 10:15:00,06/01/2018 15:26:21
96,11,13,101.35,04/01/2018 10:56:00,06/01/2018 10:13:12
97,2,2,153.09,04/01/2018 11:37:00,06/01/2018 20:44:44
99,2,293,426.79,04/01/2018 12:59:00,07/01/2018 03:30:01
100,4,77,273.13,04/01/2018 13:40:00,07/01/2018 01:17:05
101,10,241,86.43,04/01/2018 14:21:00,06/01/2018 16:34:33
102,6,380,428.25,04/01/2018 15:02:00,06/01/2018 22:58:15
104,11,292,183.85,04/01/2018 16:24:00,05/01/2018 18:24:57
106,7,78,212,04/01/2018 17:46:00,06/01/2018 07:56:22
107,7,284,222.16,04/01/2018 18:27:00,06/01/2018 18:52:26
109,3,267,447.9,04/01/2018 19:49:00,06/01/2018 23:09:05
110,6,378,284.67,04/01/2018 20:30:00,06/01/2018 06:01:10
111,13,364,72.55,04/01/2018 21:11:00,07/01/2018 03:55:55
114,12,185,328.58,04/01/2018 23:14:00,07/01/2018 05:13:40
115,3,261,354.54,04/01/2018 23:55:00,06/01/2018 04:51:54
116,10,12,326.47,05/01/2018 00:36:00,07/01/2018 12:32:47
117,4,66,204.79,05/01/2018 01:12:00,06/01/2018 23:41:41
118,12,391,377.95,05/01/2018 01:48:00,07/01/2018 07:31:20
119,5,294,98.36,05/01/2018 02:24:00,06/01/2018 04:40:55
129,14,12,183.4,05/01/2018 08:24:00,
130,9,86,299.78,05/01/2018 09:00:00,
135,3,356,70.2,05/01/2018 12:00:00,
138,10,139,140.88,05/01/2018 13:48:00,
140,13,349,253.3,05/01/2018 15:00:00,
145,6,82,444.36,05/01/2018 18:00:00,
146,4,96,385.9,05/01/2018 18:36:00,
150,13,326,332.81,05/01/2018 21:00:00,
152,11,218,138.88,05/01/2018 22:12:00,
157,3,107,285.78,06/01/2018 01:48:00,
159,9,358,81.65,06/01/2018 03:00:00,
167,12,373,321.95,06/01/2018 07:48:00,
191,10,88,167.96,06/01/2018 22:12:00,
199,9,282,443,07/01/2018 04:35:00,
213,1,324,283.61,07/01/2018 17:25:00,
216,5,37,407.86,07/01/2018 20:10:00,
219,11,13,91.53,07/01/2018 22:55:00,
223,14,231,219.41,08/01/2018 03:00:00,
225,8,29,362.98,08/01/2018 05:00:00,
228,4,92,183.48,08/01/2018 08:00:00,
235,2,144,316.34,08/01/2018 15:00:00,
240,2,330,256.55,08/01/2018 20:00:00,
123,4,11,188.16,05/01/2018 04:48:00,07/01/2018 06:12:43
124,5,226,377.88,05/01/2018 05:24:00,07/01/2018 20:22:18
125,14,218,155.34,05/01/2018 06:00:00,06/01/2018 20:40:39
126,12,154,251.4,05/01/2018 06:36:00,06/01/2018 19:50:51
127,2,258,93.06,05/01/2018 07:12:00,07/01/2018 09:29:16
128,3,190,26.09,05/01/2018 07:48:00,07/01/2018 16:59:23
132,2,92,377.65,05/01/2018 10:12:00,07/01/2018 20:29:08
133,8,238,274.2,05/01/2018 10:48:00,06/01/2018 19:09:49
134,9,194,192.38,05/01/2018 11:24:00,07/01/2018 10:40:40
136,7,199,185.7,05/01/2018 12:36:00,07/01/2018 16:53:27
137,11,140,139.24,05/01/2018 13:12:00,06/01/2018 18:21:35
141,8,381,185.21,05/01/2018 15:36:00,07/01/2018 20:53:03
142,3,83,77.82,05/01/2018 16:12:00,07/01/2018 05:11:10
143,10,176,242.03,05/01/2018 16:48:00,07/01/2018 12:16:56
144,12,367,69.4,05/01/2018 17:24:00,08/01/2018 03:39:41
147,6,338,219.98,05/01/2018 19:12:00,07/01/2018 18:17:59
149,11,58,394.65,05/01/2018 20:24:00,07/01/2018 16:36:09
151,1,173,204.55,05/01/2018 21:36:00,08/01/2018 09:22:03
153,7,233,27.36,05/01/2018 22:48:00,08/01/2018 14:26:43
154,6,77,146.77,05/01/2018 23:24:00,08/01/2018 06:01:50
155,6,320,161.5,06/01/2018 00:36:00,08/01/2018 08:02:05
156,12,28,114.85,06/01/2018 01:12:00,08/01/2018 00:58:45
160,5,200,62.99,06/01/2018 03:36:00,08/01/2018 13:56:03
